x, y
-124.66467688143457, 0.00005580695121001584
-122.75677896466722, 0.0000960398695242133
-121.48345739281744, 0.00323810100625557
-120.1439774759534, 0.010503387352154841
-118.99952873507661, 0.02022547738736946
-117.92649475566726, 0.033106500428285904
-116.94535743631882, 0.045945992714813505
-116.13768185992556, 0.05810931240644765
-115.22433418724927, 0.07185988561738062
-114.34995649862246, 0.08258001159400227
-113.2972231620668, 0.09403211711672738
-112.10311034849437, 0.09996712148610883
-110.84102663251002, 0.09762712304351212
-109.91027840881628, 0.09021647905725187
-109.13396007540238, 0.08133798247056076
-108.52204069795543, 0.07182354620729038
-107.9780922229204, 0.06178997551415939
-107.08305137996037, 0.04922562447545792
-106.2296993571463, 0.03645751317303616
-105.50522016530523, 0.026805506285852723
-104.77965343902557, 0.017483149761630776
-103.7856469621538, 0.009446948787388495
-102.47806805548842, 0.003739065731071061
-101.36896418386581, 0.00040881836351523227
-100.24952873507661, 0.0000713809841058342
-95.41888201459713, 0.00005191344298606124
