x, y
0.015978009925323115, -0.014583722855845638
0.18496577591518112, -0.10919095061299733
0.2681055902723709, -0.24012393493415973
0.43743187342166373, -0.29236892011004567
0.5527308179251607, -0.4006517268089427
0.7238173903035144, -0.48655145703677993
0.8374237490098373, -0.5908811666978286
0.9393851174316026, -0.6687144421592457
1.0443254368563943, -0.7381073212425546
1.1234030453003663, -0.7228291353935736
1.1523801141479861, -0.7022089265204734
1.199637109605086, -0.761505382088197
1.2382280657806544, -0.8725660407596358
1.2667312106050657, -0.9542455727984189
1.3227219487755835, -1.0249739576377574
1.3862954713174411, -0.908197334330511
1.4107364102286344, -0.5673228451614627
1.4781690283880489, 0.2036913379096661
1.5142549575837998, 1.5118993562862255
1.5890672498188934, 2.766633724191351
1.6244084412638877, 3.0948476187932368
1.6356472109571234, 3.3626966532225753
1.651015889995464, 3.4348673842784256
1.690013066762354, 3.360880365394374
1.7143863022416606, 3.178236598199738
1.7394365720398366, 2.6682870803173158
1.7558885059883684, 1.2624803012900983
1.7833760993344752, 0.37287320708352256
1.8351692247280014, -0.8375757899516547
1.8567666194999424, -1.1181922594086382
1.8944774310609804, -1.25761906033815
1.9617746423566211, -1.2428216565613397
2.037670189501906, -1.3138171425518843
2.1296114500044006, -1.423916237078982
2.282214985477614, -1.4589064878869629
2.3660995375855602, -1.2688907289190416
2.407534037900381, -0.8740083869761479
2.4621030040012726, -0.3004353748764659
2.508682965139503, 0.7866663105317984
2.547815548770167, 1.5261091375303826
2.5798392720527, 2.3703624562621863
2.6067175345118243, 2.684099468468709
2.6498446206238193, 2.875824674804348
2.6984556847186583, 2.87235235983867
2.7340676898912006, 2.673255161729747
2.7506550307035065, 1.9786319079035226
2.801635714914389, 1.0276449691498168
2.823639330277652, -0.1204626191938889
2.8562046810152806, -0.737947060551831
2.87516164194363, -0.9775902134138199
2.9075915858174852, -1.1116749913192128
2.976310569182752, -1.0485322791741232
3.053424778102002, -0.9545126739496248
3.1176753349627293, -1.0000267101151206
3.2029139557084148, -1.0926573893533482
3.2701434635721682, -1.1351798926253371
3.3776565134086645, -1.0437778786826573
3.6019579832501707, -0.5430166404017203
3.7894287861451694, -0.09514143005956366
3.9305904416294863, 0.13194796869574477
4.0299790796395465, 0.45706348994364143
4.070330325044177, 0.6201554528700015
4.143111514322661, 0.6217046395469965
4.201810389768657, 0.5156120622879885
4.292668395360961, 0.12067630011485342
4.33904524620353, -0.19589198429445243
4.396390053011787, -0.34285103768797254
4.4429023107181305, -0.36624909853361487
4.519678002477946, -0.30844840941264473
4.657251376072253, -0.023665161996848427
4.754879724853253, 0.2977109431341649
4.828676465610042, 0.5998023451481074
4.926507924686702, 0.8208018376559201
5.005653236562561, 0.9034429338390448
5.109713411372822, 0.8814872192099146
5.1565641862386, 0.7726702102086058
5.266243745895479, 0.27896044231950645
5.355747682850043, -0.13290953284008666
5.41891498480058, -0.33318197601431665
5.492779428989255, -0.4155025508159942
5.573955843821723, -0.41934880739336
5.696634462400899, -0.3996901626646012
5.790742232723777, -0.3196132375330538
5.926690723952797, -0.17414995058628713
6.07083133044014, -0.016560271374769675
6.222757831594484, 0.08045086674323532
6.42654516157424, 0.09487432890835734
6.564592459191756, 0.022062555089612523
6.661543773653887, -0.06960656000427368
6.759510639594321, -0.15908544565827087
6.867700723749687, -0.22425812655252564
6.993493700195663, -0.20401185929111376
7.075550259642661, -0.10913753038275598
7.129848412016005, -0.0239322631480543
7.236142800078536, 0.04599481823766638
7.37980948254267, 0.043430647186089466
7.503097432008828, 0.008440396378108339
7.606345165636446, -0.06965998023451503
7.7167694630440815, -0.18531477870669644
7.805325551952229, -0.27383210021635196
7.9499400824627795, -0.29963407142284804
8.09083092421955, -0.25914153690002406
8.223732761013656, -0.16768610272710283
8.331787438305248, -0.08045086674323576
8.456023235817824, 0.01907102219610568
8.592987278525149, 0.09530169075028683
8.73672166442117, 0.11618900077459315
8.887294096937774, 0.126392264750661
9.01552439693168, 0.10406260850984239
9.14077574592256, 0.0646918988220837
9.260881634090032, 0.03103715377013261
9.41070932885588, 0.04027885360185879
9.51456639337048, 0.06351665375677751
9.648822298802326, 0.05753358796976382
9.78246887334719, 0.051176580571062225
9.88768000649953, 0.01426320147439819
9.969194938491432, -0.03926386922727643
